Date,Open,High,Low,Close,Volume
03/06/2002,62.91,63.70,62.19,63.63,24917700
03/07/2002,63.67,63.88,61.86,62.72,29039600
03/08/2002,63.63,64.70,63.17,63.95,28850900
03/11/2002,63.51,65.00,63.00,64.34,21859100
03/12/2002,62.52,62.80,61.67,62.54,33203600
03/13/2002,62.08,63.02,61.95,62.10,22193700
03/14/2002,62.14,62.24,61.05,61.22,25909800
03/15/2002,61.00,62.51,60.97,62.49,34543400
03/18/2002,62.74,62.99,61.20,62.14,26148400
03/19/2002,62.18,63.00,61.50,62.23,18188200
03/20/2002,61.40,62.02,60.10,60.10,27617600
03/21/2002,60.21,61.59,59.83,61.36,23061700
03/22/2002,61.05,61.14,60.22,60.45,20670700
03/25/2002,60.48,60.78,59.15,59.23,23876200
03/26/2002,59.10,60.92,58.31,59.08,34678600
03/27/2002,58.80,59.88,58.59,59.44,23659200
03/28/2002,59.95,60.65,59.66,60.31,21950600
04/01/2002,59.83,60.40,59.20,60.38,23505000
04/02/2002,58.90,59.09,57.11,57.28,38254700
04/03/2002,57.44,57.61,55.50,56.33,38465700
04/04/2002,55.98,56.97,55.42,56.45,30881900
04/05/2002,56.89,57.30,55.84,55.87,25083000
04/08/2002,54.30,57.31,54.26,57.22,36694800
04/09/2002,57.33,57.43,54.80,54.87,31706500
04/10/2002,55.12,57.11,55.06,56.30,37818200
04/11/2002,55.89,56.45,54.50,54.79,29082900
04/12/2002,55.15,56.26,54.86,55.93,26148800
04/15/2002,56.00,56.75,55.40,55.69,23694400
04/16/2002,56.40,58.10,56.36,57.81,25960800
04/17/2002,57.95,58.28,56.42,56.63,27579300
04/18/2002,56.79,57.31,52.68,56.37,37397400
04/19/2002,57.44,57.98,56.86,57.20,52134300
04/22/2002,56.52,56.70,55.00,55.59,25732600
04/23/2002,55.70,55.82,53.30,53.99,34140700
04/24/2002,53.85,54.43,53.00,53.02,30610200
04/25/2002,52.90,54.45,52.88,53.73,28645200
04/26/2002,54.07,54.45,51.46,51.50,31388300
04/29/2002,51.47,52.91,51.44,52.24,35123000
04/30/2002,52.10,53.30,51.92,52.26,38692000
05/01/2002,52.16,53.19,50.66,52.75,38206500
05/02/2002,52.64,54.07,51.15,51.21,39504600
05/03/2002,51.26,51.68,49.51,49.56,35814000
05/06/2002,49.44,50.54,48.37,48.62,33149700
05/07/2002,49.18,50.29,48.35,49.47,44192700
05/08/2002,51.27,54.97,51.22,54.97,50621000
05/09/2002,54.40,55.00,51.90,52.12,41644100
05/10/2002,52.53,52.67,49.99,50.05,32204400
05/13/2002,50.45,52.91,49.75,52.69,32409500
05/14/2002,54.40,55.10,53.98,54.88,32416200
05/15/2002,54.49,56.44,53.86,54.75,35206000
05/16/2002,54.71,56.03,54.65,55.74,26703200
05/17/2002,56.21,56.40,55.27,56.03,27323100
05/20/2002,55.50,55.55,53.50,54.01,26057900
05/21/2002,53.95,54.60,52.13,52.19,31560000
05/22/2002,51.87,53.72,51.85,53.69,27084700
05/23/2002,53.70,54.84,53.01,54.82,25706400
05/24/2002,54.14,54.52,53.04,53.26,17991000
